user_name,cat
The Western Journal,ORG
Judicial Watch,ORG
The Bangor Daily News,ORG
Sportskeeda Combat,ORG
Mother Jones,ORG
Bill O'Reilly,IND
Daily Express,ORG
USA TODAY,ORG
KCCI,ORG
Washington Post,ORG
Newsweek,ORG
WVLT,ORG
The Telegraph,ORG
Daily Mail,ORG
Times LIVE,ORG
TheWrap,ORG
The Hill,ORG
KWTV - NEWS 9,ORG
Truthout,ORG
,ORG
London Evening Standard,ORG
AP,ORG
WDAM 7,ORG
Denver7,ORG
KRON 4 News,ORG
NEWSMAX,ORG
Good Morning America,ORG
Salon,ORG
D R E  ❤️🖤💚,IND
The Associated Press,ORG
Leo Ashcraft,IND
theSun,ORG
cbsnews,ORG
trending_clips21,ORG
Tyebaby🍼,IND
Inside Edition,ORG
ABC7LA,ORG
Cat_Russel,IND
Adamgerkie,IND
nbcnews,ORG
richlucken,IND
LEO🦁♌️GOD☀️🧿🪬,IND
Miltrash,IND
Nate John,IND
laughingas44,IND
Mason Murray,IND
Joshua Jake,IND
CireDot75,IND
NZ News accountability,ORG
Kelley Leger,IND
jacobcanfield,IND
Ashton C,IND
𝖆𝖋𝖘𝖆𝖗,IND
Guessing Clips,ORG
PopularTikToks,ORG
craighanchard946,IND
NotJnoss,IND
Fox News,ORG
The Daily Beast,ORG
Glenn Beck,IND
NBC News,ORG
ABC World News Tonight with David Muir,ORG
ABC News,ORG
Ben Shapiro,IND
FOX 7 Austin,ORG
Andrew Hastie,IND
Sky News Australia,ORG
1News,ORG
KHQ Local News,ORG
Breitbart,ORG
Daily Wire,ORG
ABC15 Arizona,ORG
Enquirer - Cincinnati and Kentucky,ORG
CNN Politics,ORG
Megyn Kelly,IND
FOX40,ORG
MSNBC,ORG
Dan Bongino,IND
6 News WOWT,ORG
CBS News,ORG
11Alive,ORG
KOMO News,ORG
FOX31 KDVR.com,ORG
CNN,ORG
RaisedRight,ORG
AmericaFirst617,IND
Trump Reels,IND
Mr. P,IND
abc7chicago,ORG
John Lee Kaa,IND
DudeBro,IND
Woods Owned,ORG
Rabbi Binyomin Freundlich,IND
Meet the Press,ORG
