time,query
06-17-17,"Maryland, Illegal immigration"
06-17-17,"Fiduciary security, United States Department of Labor, Joe Biden, Finance, 401(k), Law"
06-17-17,"Joe Biden, Karine Jean-Pierre, White House Press Secretary"
06-17-17,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress"
06-17-17,"Joe Biden, Juneteenth, The White House, Barack Obama"
06-17-17,"Andrew Cuomo, New York, Pandemic"
06-17-17,"Jens Stoltenberg, Secretary General of NATO, NATO, Joe Biden"
06-17-18,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-17-18,"Maryland, Illegal immigration"
06-17-18,"United States presidential debates, Donald Trump, Joe Biden, Debate"
06-17-18,"Joe Biden, Juneteenth, The White House, Barack Obama"
06-17-18,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress"
06-17-18,"Donald Trump, Supreme Court of the United States"
06-17-18,"Kathy Hochul, New York, Mask, Protest, Antisemitism"
06-17-18,"Ballot, South Dakota, Primary election, Election official"
06-17-18,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-17-18,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-17-18,"Immigration, Joe Biden, Inflation"
06-17-18,"Joe Biden, Karine Jean-Pierre, White House Press Secretary"
06-17-18,"United States Department of Labor, Fiduciary security, Joe Biden, Finance, Law"
06-17-18,"Jens Stoltenberg, Secretary General of NATO, NATO, Joe Biden"
06-17-19,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire, United States Congress, Virginia's 5th Congressional District"
06-17-19,"Supreme Court of the United States, Trademark, Donald Trump"
06-17-19,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-17-19,"Joe Biden, Karine Jean-Pierre, White House Press Secretary, Barack Obama"
06-17-19,"Joe Biden, Donald Trump, Debate, CNN, United States presidential debates"
06-17-19,"Maryland, Illegal immigration"
06-17-19,"United States Secret Service, Joe Biden, Scripps News, California"
06-17-19,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-17-19,"OpenAI, Paul Nakasone, Director of the National Security Agency of the USA, United States Cyber Command, Board of directors, Artificial intelligence"
06-17-19,"Kathy Hochul, New York, Mask, Protest, Antisemitism"
06-17-19,"Mexico, Immigration, Mexico-United States border, Joe Biden"
06-17-19,"Joe Biden, Illegal immigration, Deportation"
06-17-19,"Primary election, Senate, Kurt Semder, Candidate, Democracy, New York"
06-17-19,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-17-19,"Tony Awards, Hillary Clinton"
06-17-20,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-17-20,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress, Virginia's 5th Congressional District"
06-17-20,"Joe Biden, The White House, Karine Jean-Pierre, Barack Obama, Donald Trump"
06-17-20,"Supreme Court of the United States, Trademark, Donald Trump"
06-17-20,"Joe Biden, Illegal immigration"
06-17-20,"Mexico, Immigration, Mexico-United States border, Joe Biden"
06-17-20,"Maryland, Illegal immigration"
06-17-20,"Cryptocurrency, Donald Trump"
06-17-20,"United States Secret Service, Joe Biden, California, Scripps News, Los Angeles"
06-17-20,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-17-21,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-17-21,"Ukraine, Russia, Vladimir Putin, Mark Galeotti, Russo-Ukrainian War, Yevgeny Prigozhin"
06-17-21,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, Barack Obama, United States Congress"
06-17-21,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress, Virginia's 5th Congressional District"
06-17-21,"Joe Biden, Donald Trump, Debate, CNN, United States presidential debates"
06-17-21,"Supreme Court of the United States, Trademark, Donald Trump"
06-17-21,"Cryptocurrency, Donald Trump, Token coin"
06-17-21,"Chuck Schumer, Father's Day"
06-17-23,"Supreme Court of the United States, Trademark, Donald Trump"
06-17-23,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, United States Congress"
06-17-23,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-17-23,"Ukraine, Russia, Vladimir Putin, Mark Galeotti, Russo-Ukrainian War, Yevgeny Prigozhin"
06-17-23,Supreme Court of the United States
06-17-23,"Donald Trump, Bitcoin, Cryptocurrency, Digital currency"
06-18-00,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, United States Congress"
06-18-00,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-00,"Joe Biden, Illegal immigration, Deportation"
06-18-00,"Bump stock, Supreme Court of the United States, Donald Trump"
06-18-01,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-01,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, United States Congress"
06-18-01,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-18-01,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-01,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-01,"Supreme Court of the United States, Trademark, Donald Trump"
06-18-01,"Joe Biden, Illegal immigration, Deportation"
06-18-02,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-02,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, United States Congress"
06-18-02,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-18-02,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-03,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-03,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-18-03,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-03,"Jens Stoltenberg, Secretary General of NATO, NATO, Joe Biden"
06-18-03,"Joe Biden, Illegal immigration, Deportation"
06-18-03,"Armenia, Russia, Nikol Pashinyan, Collective Security Treaty Organization, Prime Minister of Armenia"
06-18-03,"San Francisco, Debate, Candidate, Aaron Peskin, Mark Farrell, London Breed"
06-18-03,"National Public Radio, Up First, Vladimir Putin, Morning Edition, Immigration"
06-18-03,"Canada, NATO, Bill Blair, Arctic, Military budget"
06-18-04,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-04,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-04,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-18-04,"National Public Radio, Up First, Vladimir Putin, Morning Edition, Immigration"
06-18-04,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-04,"Pfizer, Vaccine, Kris Kobach, Kansas Attorney General"
06-18-05,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-05,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-05,"Canada, NATO, Bill Blair, Arctic, Military budget"
06-18-05,"Ukraine, Lloyd Austin, NATO"
06-18-05,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-05,"Israel Defense Forces, Yair Netanyahu, Benjamin Netanyahu, Shin Bet, Comptroller"
06-18-06,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-06,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-18-06,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-06,"Canada, NATO, Bill Blair, Arctic, Military budget"
06-18-06,"Ukraine, Lloyd Austin, NATO"
06-18-06,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-06,"Israel Defense Forces, Yair Netanyahu, Benjamin Netanyahu, Shin Bet, Comptroller"
06-18-07,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-07,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-18-07,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-07,"Canada, NATO, Bill Blair, Arctic, Military budget"
06-18-07,"Ukraine, Lloyd Austin, NATO"
06-18-07,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-07,"Israel Defense Forces, Yair Netanyahu, Benjamin Netanyahu, Shin Bet, Comptroller"
06-18-08,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-08,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
